DeckID,MainMarket,DeckFaction,DeckContributor,DeckWins,DeckLoses,CardCode,Quantity,Name,Set,DraftPack,CardText,Rarity,Type,ImageUrl,UnitType,Influence,Cost,Strength,Health,Faction,FE.Type,FE.Subtype,Removal,Unit,Buff,Power,F,T,J,P,S,ProducesF,ProducesT,ProducesJ,ProducesP,ProducesS
1,main,JS,LukasH,7,1,1-209,1,Flash Freeze,Throne,TRUE,Stun two enemy units.,Common,Fast Spell,https://cards.eternalwarcry.com/cards/full/Flash_Freeze.png,NULL,{P},3,NA,NA,Primal,Spell,Fast,Soft,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-201,1,Lethrai Direbeast,Frontier,FALSE,Lifesteal;Shift 4: Give one of your other units Lifesteal until Lethrai Direbeast emerges.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Lethrai_Direbeast.png,Direbeast,{S},3,NA,NA,Shadow,Unit,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,1-213,1,Scheme,Throne,TRUE,Draw one of the top four cards of your deck. Put the rest on the bottom.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Scheme.png,NULL,{S},3,NA,NA,Shadow,Spell,NA,NA,No,No,FALSE,0,0,0,0,1,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,5-131,1,Storm Spiral,Defiance,TRUE,Deal 2 damage to each unit and player.,Uncommon,Fast Spell,https://cards.eternalwarcry.com/cards/full/Storm_Spiral.png,NULL,{P},3,NA,NA,Primal,Spell,Fast,Area,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-163,1,Yeti Instigator,Frontier,FALSE,,Common,Unit,https://cards.eternalwarcry.com/cards/full/Yeti_Instigator.png,Yeti,{P},3,NA,NA,Primal,Unit,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-170,1,Murderous Flock,Frontier,FALSE,"When you scout, Murderous Flock gets Flying this turn.",Common,Unit,https://cards.eternalwarcry.com/cards/full/Murderous_Flock.png,Bird,{P},4,NA,NA,Primal,Unit,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-210,1,Razorquill,Frontier,FALSE,Pay 1 and twist Razorquill to deal 1 damage to the enemy player and gain 1 Health.,Common,Unit,https://cards.eternalwarcry.com/cards/full/Razorquill.png,Direbeast,{S},4,2,4,Shadow,Unit,Direbeast,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,1-224,1,Stormcaller,Throne,TRUE,Exhaust Stormcaller to deal 1 damage.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Stormcaller.png,Shaman,{P}{P},4,0,2,Primal,Unit,Shaman,Damage,Utility,No,FALSE,0,0,0,2,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-213,1,Eviscerate,Frontier,FALSE,Kill an enemy unit.;Onslaught: The enemy player discards the top five cards of their deck.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Eviscerate.png,NULL,{S}{S},5,NA,NA,Shadow,Spell,NA,NA,NA,NA,NA,0,0,0,0,2,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,1-247,1,Skycrag Wyvarch,Throne,TRUE,"Flying, Killer",Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Skycrag_Wyvarch.png,Dragon,{P}{P},5,3,3,Primal,Unit,Dragon,Damage,Yes,No,FALSE,0,0,0,2,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-176,2,Cloudsnake Matriarch,Frontier,FALSE,"Flying, Warp;When you Warp a card (including Cloudsnake Matriarch), draw a card.",Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Cloudsnake_Matriarch.png,Serpent,{P}{P},6,5,4,Primal,Unit,Serpent,NA,NA,NA,NA,0,0,0,2,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,5-181,1,Sadistic Glee,Defiance,TRUE,Summon: The enemy player discards the top two cards from their deck for each of your units.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Sadistic_Glee.png,Nightmare,{S},6,5,5,Shadow,Unit,Nightmare,No,Yes,No,FALSE,0,0,0,0,1,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-224,2,Winnow,Frontier,FALSE,Warp;Enemy units get -1/-1.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Winnow.png,NULL,{S}{S},6,NA,NA,Shadow,NA,NA,NA,NA,NA,NA,0,0,0,0,2,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,6-225,1,Direwood Lurker,Frontier,FALSE,Lifesteal;Shift 6,Common,Unit,https://cards.eternalwarcry.com/cards/full/Direwood_Lurker.png,Direbeast,{S},7,NA,NA,Shadow,Unit,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,1-187,7,Primal Sigil,Basic,FALSE,,None,Power,https://cards.eternalwarcry.com/cards/full/Primal_Sigil.png,NULL,{P},0,NA,NA,Primal,Power,Sigil,No,No,No,FALSE,0,0,0,0,0,NA,NA,NA,1,NA
1,main,JS,LukasH,7,1,1-249,8,Shadow Sigil,Basic,FALSE,,None,Power,https://cards.eternalwarcry.com/cards/full/Shadow_Sigil.png,NULL,{S},0,NA,NA,Shadow,Power,Sigil,No,No,No,FALSE,0,0,0,0,0,NA,NA,NA,NA,1
1,main,JS,LukasH,7,1,6-136,1,Cobalt Coin,Frontier,FALSE,Depleted;Gain {P}.;Onslaught: Play an Inferiority Complex on an enemy unit.,Common,Power,https://cards.eternalwarcry.com/cards/full/Cobalt_Coin.png,NULL,{P},0,NA,NA,Primal,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
1,main,JS,LukasH,7,1,3-267,1,Crest of Cunning,Dusk,TRUE,Depleted; Gain {P}{S}.; Scout.,Rare,Power,https://cards.eternalwarcry.com/cards/full/Crest_of_Cunning.png,NULL,{P}{S},0,NA,NA,Feln,Power,Crest,No,No,No,TRUE,0,0,0,0,0,NA,NA,NA,1,1
2,main,TJ,LukasH,7,2,6-140,1,Good Idea at the Time,Frontier,FALSE,Warp;Transform a card in your hand into a random card.,Uncommon,Spell,https://cards.eternalwarcry.com/cards/full/Good_Idea_at_the_Time.png,NULL,{P},1,NA,NA,Primal,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-141,1,Gustrider,Frontier,FALSE,"Flying;Onslaught: Draw two cards, then discard two cards.",Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Gustrider.png,Shaman,{P},1,1,1,Primal,Unit,Shaman,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-193,1,Permafrost,Throne,TRUE,Stun the cursed unit (for as long as it is cursed).,Uncommon,Curse,https://cards.eternalwarcry.com/cards/full/Permafrost.png,NULL,{P},1,NA,NA,Primal,Attachment,Curse,Hard,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-408,2,Seek Power,Throne,TRUE,Draw a Sigil of your choice from your deck.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Seek_Power.png,NULL,,1,NA,NA,Neutral,Spell,NA,No,No,No,TRUE,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
2,main,TJ,LukasH,7,2,4-59,1,Training Ground,Fall,TRUE,Create and draw a 2/2 Monk with Endurance.; Scout.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Training_Ground.png,NULL,{T},1,NA,NA,Time,Spell,NA,NA,Yes,No,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-148,1,Belligerent Yeti,Frontier,FALSE,Pay 1 and twist Belligerent Yeti to deal 1 damage to an enemy.,Common,Unit,https://cards.eternalwarcry.com/cards/full/Belligerent_Yeti.png,Yeti,{P},2,2,1,Primal,Unit,Yeti,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-55,2,Devotee of the Sands,Frontier,FALSE,+1 Maximum Power.;Shift 2,Common,Unit,https://cards.eternalwarcry.com/cards/full/Devotee_of_the_Sands.png,Mage,{T},2,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,4-63,1,Learned Herbalist,Fall,TRUE,"When you play a spell, you gain 1 Health.; Summon: You may discard a card to create and draw Secret Pages.",Common,Unit,https://cards.eternalwarcry.com/cards/full/Learned_Herbalist.png,Cleric,{T},2,2,2,Time,Unit,Cleric,No,Yes,No,Slow,0,1,0,0,0,0.5,0.5,0.5,0.5,0.5
2,main,TJ,LukasH,7,2,1-197,1,Lightning Strike,Throne,TRUE,Deal 4 damage to an attacking enemy.,Common,Fast Spell,https://cards.eternalwarcry.com/cards/full/Lightning_Strike.png,NULL,{P},2,NA,NA,Primal,Spell,Fast,Damage,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,2-111,1,Trailblaze,Omens,TRUE,Scout.; Draw a card.,Common,Fast Spell,https://cards.eternalwarcry.com/cards/full/Trailblaze.png,NULL,{P},2,NA,NA,Primal,Spell,Fast,NA,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,4-165,1,Advance Scout,Fall,TRUE,Flying; Infiltrate: Scout,Common,Unit,https://cards.eternalwarcry.com/cards/full/Advance_Scout.png,"c(""Explorer"", ""Serpent"")",{P},3,2,1,Primal,Unit,Explorer Serpent,No,Utility,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,2-46,1,Avirax Familiar,Omens,TRUE,"Flying, Warp;+1 Maximum Power",Common,Unit,https://cards.eternalwarcry.com/cards/full/Avirax_Familiar.png,Dinosaur,{T},3,1,2,Time,Unit,Dinosaur,No,Utility,No,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,3-170,1,Daring Pioneer,Dusk,TRUE,"Overwhelm; When an enemy plays a spell, sacrifice Daring Pioneer to negate it.",Rare,Unit,https://cards.eternalwarcry.com/cards/full/Daring_Pioneer.png,Explorer,{P}{P},3,4,4,Primal,Unit,Explorer,No,Yes,No,FALSE,0,0,0,2,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-209,1,Flash Freeze,Throne,TRUE,Stun two enemy units.,Common,Fast Spell,https://cards.eternalwarcry.com/cards/full/Flash_Freeze.png,NULL,{P},3,NA,NA,Primal,Spell,Fast,Soft,No,No,FALSE,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-64,1,"Kimi, Expedition Guide",Frontier,FALSE,"When Kimi attacks, play a Shifted 1/1 Explorer. Then your Shifted units get +1/+1.",Rare,Unit,"https://cards.eternalwarcry.com/cards/full/Kimi,_Expedition_Guide.png","c(""Explorer"", ""Dinosaur"", ""Hero"")",{T},3,1,4,Time,Unit,Explorer Dinosaur,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-72,2,Submerged Titan,Frontier,FALSE,"When you play another unit, Submerged Titan gets +1/+1.;Shift 4",Common,Unit,https://cards.eternalwarcry.com/cards/full/Submerged_Titan.png,Sentinel,{T},3,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-76,1,Trickster Mage,Frontier,FALSE,Warp cards on top of your deck cost 1 less.;Your units cost 1 less to Shift.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Trickster_Mage.png,Mage,{T},3,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-105,1,Ancient Lore,Throne,TRUE,Draw two cards. Units drawn this way get +1/+1.,Uncommon,Spell,https://cards.eternalwarcry.com/cards/full/Ancient_Lore.png,NULL,{T}{T},4,NA,NA,Time,Spell,NA,No,No,Slow,FALSE,0,2,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-98,1,Healer's Cloak,Throne,TRUE,Summon: You gain Health equal to the wielder's Health.,Uncommon,Weapon,https://cards.eternalwarcry.com/cards/full/Healer's_Cloak.png,NULL,{T},4,2,2,Time,Attachment,Weapon,No,No,Slow,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-80,1,Temporal Adept,Frontier,FALSE,Warp;Your spells have Warp.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Temporal_Adept.png,Mage,{T}{T},4,2,2,Time,Unit,Mage,NA,NA,NA,NA,0,2,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,2-57,1,Awakened Sentinel,Omens,TRUE,"Endurance, Warp",Common,Unit,https://cards.eternalwarcry.com/cards/full/Awakened_Sentinel.png,Sentinel,{T},5,3,5,Time,Unit,Sentinel,No,Yes,No,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-81,1,Corrupted Behemoth,Frontier,FALSE,Overwhelm;Pay 3 and twist Corrupted Behemoth to gain 2 Health.,Common,Unit,https://cards.eternalwarcry.com/cards/full/Corrupted_Behemoth.png,Dinosaur,{T},5,4,6,Time,Unit,Dinosaur,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-172,1,Hold Under,Frontier,FALSE,Warp;Deal damage to an enemy unit equal to the highest  Strength among your units.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Hold_Under.png,NULL,{P}{P},5,NA,NA,Primal,NA,NA,NA,NA,NA,NA,0,0,0,2,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-82,1,Horn of Plenty,Frontier,FALSE,Your units have +1/+1.,Common,Relic,https://cards.eternalwarcry.com/cards/full/Horn_of_Plenty.png,NULL,{T},5,NA,NA,Time,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,2-63,1,Waystone Infuser,Omens,TRUE,Warp; Your power cards have Warp.,Rare,Unit,https://cards.eternalwarcry.com/cards/full/Waystone_Infuser.png,Radiant,{T}{T},5,2,6,Time,Unit,Radiant,No,Yes,No,Slow,0,2,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-179,1,Snowmass Jotun,Frontier,FALSE,Warp;Shift 5,Common,Unit,https://cards.eternalwarcry.com/cards/full/Snowmass_Jotun.png,Giant,{P},7,NA,NA,Primal,Unit,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,6-90,1,Blurred Stygimoloch,Frontier,FALSE,Overwhelm;Blurred Stygimoloch costs 7 less if you have 7 Strength or more among your units.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Blurred_Stygimoloch.png,Dinosaur,{T},10,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
2,main,TJ,LukasH,7,2,1-187,7,Primal Sigil,Basic,FALSE,,None,Power,https://cards.eternalwarcry.com/cards/full/Primal_Sigil.png,NULL,{P},0,NA,NA,Primal,Power,Sigil,No,No,No,FALSE,0,0,0,0,0,NA,NA,NA,1,NA
2,main,TJ,LukasH,7,2,1-63,7,Time Sigil,Basic,FALSE,,None,Power,https://cards.eternalwarcry.com/cards/full/Time_Sigil.png,NULL,{T},0,NA,NA,Time,Power,Sigil,No,No,No,FALSE,0,0,0,0,0,NA,1,NA,NA,NA
2,main,TJ,LukasH,7,2,6-46,1,Amber Coin,Frontier,FALSE,Depleted;Gain {T}.;Onslaught: Play a 1/1 Wisp.,Common,Power,https://cards.eternalwarcry.com/cards/full/Amber_Coin.png,NULL,{T},0,NA,NA,Time,Power,Coin,No,Utility,No,TRUE,0,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-71,1,Excavate,Throne,TRUE,Voidbound; Put a card from your void on the top of your deck; You gain 2 Health.,Uncommon,Fast Spell,https://cards.eternalwarcry.com/cards/full/Excavate.png,NULL,{T},1,NA,NA,Time,Spell,Fast,No,No,No,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-51,1,Potion of Alacrity,Frontier,FALSE,Warp;Your Shifted units emerge one turn sooner.,Uncommon,Spell,https://cards.eternalwarcry.com/cards/full/Potion_of_Alacrity.png,NULL,{T},1,NA,NA,Time,Spell,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-408,2,Seek Power,Throne,TRUE,Draw a Sigil of your choice from your deck.,Common,Spell,https://cards.eternalwarcry.com/cards/full/Seek_Power.png,NULL,,1,NA,NA,Neutral,Spell,NA,No,No,No,TRUE,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
3,main,TSF,CaptainCookiesAndCreme,7,2,6-186,1,Spiteful Strike,Frontier,FALSE,"Give a unit +2/+1, Lifesteal, and Quickdraw this turn.",Uncommon,Fast Spell,https://cards.eternalwarcry.com/cards/full/Spiteful_Strike.png,NULL,{S},1,NA,NA,Shadow,Spell,Fast,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-407,1,Worn Shield,Throne,TRUE,,Common,Weapon,https://cards.eternalwarcry.com/cards/full/Worn_Shield.png,NULL,,1,0,3,Neutral,Attachment,Weapon,No,No,Slow,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-297,1,Cabal Cutthroat,Throne,TRUE,Lifesteal,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Cabal_Cutthroat.png,Rogue,{S},2,2,2,Shadow,Unit,Rogue,No,Yes,No,FALSE,0,0,0,0,2,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-10,1,Daring Maneuver,Frontier,FALSE,Give a unit +2/+2 and Overwhelm this turn.,Common,Fast Spell,https://cards.eternalwarcry.com/cards/full/Daring_Maneuver.png,NULL,{F},2,NA,NA,Fire,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-55,1,Devotee of the Sands,Frontier,FALSE,+1 Maximum Power.;Shift 2,Common,Unit,https://cards.eternalwarcry.com/cards/full/Devotee_of_the_Sands.png,Mage,{T},2,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-56,2,Displaced Oryctodon,Frontier,FALSE,Summon: Scout.;Shift 1,Common,Unit,https://cards.eternalwarcry.com/cards/full/Displaced_Oryctodon.png,Dinosaur,{T},2,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,4-63,1,Learned Herbalist,Fall,TRUE,"When you play a spell, you gain 1 Health.; Summon: You may discard a card to create and draw Secret Pages.",Common,Unit,https://cards.eternalwarcry.com/cards/full/Learned_Herbalist.png,Cleric,{T},2,2,2,Time,Unit,Cleric,No,Yes,No,Slow,0,1,0,0,0,0.5,0.5,0.5,0.5,0.5
3,main,TSF,CaptainCookiesAndCreme,7,2,1-263,1,Venomfang Dagger,Throne,TRUE,Deadly,Common,Weapon,https://cards.eternalwarcry.com/cards/full/Venomfang_Dagger.png,NULL,{S},2,1,1,Shadow,Attachment,Weapon,NA,NA,NA,FALSE,0,0,0,0,1,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-61,1,Bulbous Humbug,Frontier,FALSE,Flying;Pay 2 and twist Bulbous Humbug to draw a Sigil of your choice from your deck.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Bulbous_Humbug.png,Insect,{T},3,1,2,Time,Unit,Insect,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-506,1,Cabal Countess,Throne,TRUE,Ambush; Ultimate: Pay 4 to give Cabal Countess +2 Attack and Quickdraw.,Rare,Unit,https://cards.eternalwarcry.com/cards/full/Cabal_Countess.png,"c(""Gunslinger"", ""Rogue"")",{S}{S},3,4,1,Shadow,Unit,Gunslinger Rogue,No,Yes,No,FALSE,0,0,0,0,2,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-64,1,"Kimi, Expedition Guide",Frontier,FALSE,"When Kimi attacks, play a Shifted 1/1 Explorer. Then your Shifted units get +1/+1.",Rare,Unit,"https://cards.eternalwarcry.com/cards/full/Kimi,_Expedition_Guide.png","c(""Explorer"", ""Dinosaur"", ""Hero"")",{T},3,1,4,Time,Unit,Explorer Dinosaur,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-66,1,Omnivorous Vorlunk,Frontier,FALSE,"Killer, Overwhelm",Common,Unit,https://cards.eternalwarcry.com/cards/full/Omnivorous_Vorlunk.png,Dinosaur,{T}{T},3,3,1,Time,Unit,Dinosaur,NA,NA,NA,NA,0,2,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-69,1,Quicksilver Ooze,Frontier,FALSE,Pay 3 and twist Quicksilver Ooze to play a 2/2 Blob.,Common,Unit,https://cards.eternalwarcry.com/cards/full/Quicksilver_Ooze.png,Ooze,{T},3,NA,NA,Time,Unit,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,4-26,1,Rusty Grenamotive,Fall,TRUE,"Berserk; When Rusty Grenamotive attacks, you get +1 power this turn.",Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Rusty_Grenamotive.png,Grenadin,{F},3,2,4,Fire,Unit,Grenadin,No,Yes,No,FALSE,1,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-25,1,Sizzleback Salamander,Frontier,FALSE,Berserk;Pay 4 and twist Sizzleback Salamander to deal 2 damage to the enemy player.,Common,Unit,https://cards.eternalwarcry.com/cards/full/Sizzleback_Salamander.png,Beast,{F},3,NA,NA,Fire,Unit,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-97,1,Steward of Prophecy,Throne,TRUE,Summon: Silence a unit in the enemy player's hand.,Rare,Unit,https://cards.eternalwarcry.com/cards/full/Steward_of_Prophecy.png,Radiant,{T},4,4,3,Time,Unit,Radiant,Conditional,Yes,No,FALSE,0,1,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,1-46,1,Calderan Gunsmith,Throne,TRUE,Summon: Each of your units deals 1 damage to the enemy player.,Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Calderan_Gunsmith.png,Gunslinger,{F},5,3,2,Fire,Unit,Mage,No,Yes,No,FALSE,1,0,0,0,0,NA,NA,NA,NA,NA
3,main,TSF,CaptainCookiesAndCreme,7,2,6-214,1,Fallen Militiaman,Frontier,FALSE,"When another unit dies, Fallen Militiaman gets +1/+1.;Shift 3",Uncommon,Unit,https://cards.eternalwarcry.com/cards/full/Fallen_Militiaman.png,Rogue,{S},5,NA,NA,Shadow,Unit,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
