GroupedDeckFaction,Name,Rarity,TotalCards,DecksWithCard,NormalizedTotalCards,DraftPack,Type,Faction,NumberOfDecks,PctDecksWithCard,AvgCopiesPerDeck
Rakano,Outdraw,Common,4,4,4,FALSE,Spell,Fire,47,8.5,1
Rakano,Light 'em Up,Common,3,3,3.3000000000000003,TRUE,Fast Spell,Fire,47,6.4,1
Rakano,Heist,Common,3,3,3,FALSE,Spell,Justice,47,6.4,1
Rakano,Daze,Common,2,1,2.2,TRUE,Fast Spell,Neutral,47,2.1,2
Rakano,Guns Blazing,Common,2,2,2,FALSE,Fast Spell,Fire,47,4.3,1
Rakano,Stonescar Outfitter,Common,2,1,2,FALSE,Unit,Shadow,47,2.1,2
Rakano,Ruin,Common,1,1,1.1,TRUE,Fast Spell,Fire,47,2.1,1
Rakano,Flash Freeze,Common,1,1,1.1,TRUE,Fast Spell,Primal,47,2.1,1
Rakano,Dark Return,Common,1,1,1.1,TRUE,Spell,Shadow,47,2.1,1
Rakano,Direwood Rampager,Common,1,1,1.1,TRUE,Unit,Shadow,47,2.1,1
Rakano,Steadfast Deputy,Common,1,1,1.1,TRUE,Unit,Justice,47,2.1,1
Rakano,Icebow,Common,1,1,1.1,TRUE,Weapon,Primal,47,2.1,1
Rakano,Dustblind,Common,1,1,1.1,TRUE,Spell,Fire,47,2.1,1
Rakano,Overheat,Common,1,1,1.1,TRUE,Spell,Fire,47,2.1,1
Rakano,Mob Rule,Common,1,1,1.1,TRUE,Fast Spell,Shadow,47,2.1,1
Rakano,Spitfire,Common,1,1,1.1,TRUE,Relic,Fire,47,2.1,1
Rakano,Belligerent Yeti,Common,1,1,1,FALSE,Unit,Primal,47,2.1,1
Rakano,Murderous Flock,Common,1,1,1,FALSE,Unit,Primal,47,2.1,1
Rakano,Crooked Alleyguide,Common,1,1,1,FALSE,Unit,Shadow,47,2.1,1
Rakano,Needlespitter,Common,1,1,1,FALSE,Unit,Fire,47,2.1,1
Rakano,Shugo Standard,Uncommon,16,12,20.8,TRUE,Power,Fire,47,25.5,1.3
Rakano,Heretic's Cannon,Uncommon,17,14,17,FALSE,Weapon,Fire,47,29.8,1.2
Rakano,Throne Warden,Uncommon,11,9,14.3,TRUE,Unit,Justice,47,19.1,1.2
Rakano,Piercing Shot,Uncommon,10,10,13,TRUE,Spell,Fire,47,21.3,1
Rakano,Crownwatch Standard,Uncommon,10,8,13,TRUE,Power,Justice,47,17,1.2
Rakano,Relentless Deadshot,Uncommon,13,12,13,FALSE,Unit,Justice,47,25.5,1.1
Rakano,Seat of Glory,Uncommon,9,7,11.700000000000001,TRUE,Power,Rakano,47,14.9,1.3
Rakano,Steel Legion,Uncommon,11,11,11,FALSE,Unit,Justice,47,23.4,1
Rakano,Rusty Grenamotive,Uncommon,7,6,9.1,TRUE,Unit,Fire,47,12.8,1.2
Rakano,Combustion Brawler,Uncommon,9,8,9,FALSE,Unit,Fire,47,17,1.1
Rakano,Valkyrie Accuser,Uncommon,8,8,8,FALSE,Unit,Justice,47,17,1
Rakano,Coverfire Marksman,Uncommon,8,6,8,FALSE,Unit,Fire,47,12.8,1.3
Rakano,Outlaw Ringleader,Uncommon,8,8,8,FALSE,Unit,Fire,47,17,1
Rakano,Ceremonial Mask,Uncommon,6,6,7.800000000000001,TRUE,Relic Weapon,Justice,47,12.8,1
Rakano,Bladekin Apprentice,Uncommon,6,5,7.800000000000001,TRUE,Unit,Fire,47,10.6,1.2
Rakano,Oni Cavediver,Uncommon,6,6,7.800000000000001,TRUE,Unit,Fire,47,12.8,1
Rakano,Kosul Battlemage,Uncommon,6,6,7.800000000000001,TRUE,Unit,Justice,47,12.8,1
Rakano,Censari Dervish,Uncommon,7,7,7,FALSE,Unit,Fire,47,14.9,1
Rakano,Flame Blast,Uncommon,5,5,6.5,TRUE,Spell,Fire,47,10.6,1
Rakano,Defiance,Uncommon,5,5,6.5,TRUE,Fast Spell,Justice,47,10.6,1
Rakano,Impatient Pyromage,Uncommon,6,5,6,FALSE,Unit,Fire,47,10.6,1.2
Rakano,Silverwing Familiar,Uncommon,4,4,5.2,TRUE,Unit,Justice,47,8.5,1
Rakano,Stonepowder Heretic,Uncommon,4,3,5.2,TRUE,Unit,Fire,47,6.4,1.3
Rakano,Rampart Arbalest,Uncommon,4,4,5.2,TRUE,Relic Weapon,Justice,47,8.5,1
Rakano,War Wagon,Uncommon,5,5,5,FALSE,Unit,Justice,47,10.6,1
Rakano,Unseen Ghostblade,Uncommon,5,5,5,FALSE,Relic Weapon,Justice,47,10.6,1
Rakano,Ruins Guide,Uncommon,5,5,5,FALSE,Unit,Fire,47,10.6,1
Rakano,Pioneering Aviator,Uncommon,5,4,5,FALSE,Unit,Justice,47,8.5,1.2
Rakano,Kemmo's Blueprints,Uncommon,4,4,4,FALSE,Spell,Justice,47,8.5,1
Rakano,Shieldcrafter,Uncommon,4,4,4,FALSE,Unit,Justice,47,8.5,1
Rakano,Tantrum,Uncommon,4,4,4,FALSE,Spell,Fire,47,8.5,1
Rakano,Seat of Chaos,Uncommon,3,2,3.9000000000000004,TRUE,Power,Stonescar,47,4.3,1.5
Rakano,Bronze Cuirass,Uncommon,3,3,3.9000000000000004,TRUE,Weapon,Justice,47,6.4,1
Rakano,Hipshot,Uncommon,3,3,3.9000000000000004,TRUE,Spell,Fire,47,6.4,1
Rakano,Horngrinder,Uncommon,3,3,3.9000000000000004,TRUE,Unit,Justice,47,6.4,1
Rakano,Silverwing Smith,Uncommon,3,3,3.9000000000000004,TRUE,Unit,Justice,47,6.4,1
Rakano,Valkyrie Bodyguard,Uncommon,3,3,3.9000000000000004,TRUE,Unit,Justice,47,6.4,1
Rakano,Auric Weaponsmith,Uncommon,3,3,3.9000000000000004,TRUE,Unit,Justice,47,6.4,1
Rakano,Silver Shortsword,Uncommon,3,2,3,FALSE,Relic Weapon,Justice,47,4.3,1.5
Rakano,Stronghold Vandal,Uncommon,3,3,3,FALSE,Unit,Fire,47,6.4,1
Rakano,Zuberi's Longbow,Uncommon,3,3,3,FALSE,Weapon,Fire,47,6.4,1
Rakano,Seat of Order,Uncommon,2,2,2.6,TRUE,Power,Hooru,47,4.3,1
Rakano,Tinker Apprentice,Uncommon,2,2,2.6,TRUE,Unit,Justice,47,4.3,1
Rakano,Permafrost,Uncommon,2,2,2.6,TRUE,Curse,Primal,47,4.3,1
Rakano,Cloud of Ash,Uncommon,2,2,2.6,TRUE,Spell,Fire,47,4.3,1
Rakano,Diplomatic Seal,Uncommon,2,2,2.6,TRUE,Power,Neutral,47,4.3,1
Rakano,Family Charter,Uncommon,2,2,2.6,TRUE,Relic,Neutral,47,4.3,1
Rakano,Encouragement,Uncommon,2,2,2.6,TRUE,Spell,Justice,47,4.3,1
Rakano,Heirloom Blade,Uncommon,2,2,2.6,TRUE,Relic Weapon,Justice,47,4.3,1
Rakano,Ankle Cutter,Uncommon,2,2,2.6,TRUE,Unit,Fire,47,4.3,1
Rakano,Rallying Banner,Uncommon,2,2,2.6,TRUE,Relic,Justice,47,4.3,1
Rakano,Reclaim,Uncommon,2,2,2,FALSE,Spell,Justice,47,4.3,1
Rakano,Call to Arms,Uncommon,2,2,2,FALSE,Fast Spell,Fire,47,4.3,1
Rakano,Twinflame,Uncommon,2,2,2,FALSE,Fast Spell,Fire,47,4.3,1
Rakano,Headhunter,Uncommon,2,2,2,FALSE,Unit,Justice,47,4.3,1
Rakano,Seat of Fury,Uncommon,1,1,1.3,TRUE,Power,Skycrag,47,2.1,1
Rakano,Armorsmith,Uncommon,1,1,1.3,TRUE,Unit,Justice,47,2.1,1
Rakano,Suffocate,Uncommon,1,1,1.3,TRUE,Spell,Shadow,47,2.1,1
Rakano,Lifedrinker,Uncommon,1,1,1.3,TRUE,Relic Weapon,Shadow,47,2.1,1
Rakano,Horsesnatcher Bat,Uncommon,1,1,1.3,TRUE,Unit,Shadow,47,2.1,1
Rakano,Granite Ring,Uncommon,1,1,1.3,TRUE,Relic,Fire,47,2.1,1
Rakano,Tower Shield,Uncommon,1,1,1.3,TRUE,Weapon,Justice,47,2.1,1
Rakano,Fearless Yeti,Uncommon,1,1,1.3,TRUE,Unit,Primal,47,2.1,1
Rakano,Improvised Rubbler,Uncommon,1,1,1.3,TRUE,Relic Weapon,Fire,47,2.1,1
Rakano,Feed the Flames,Uncommon,1,1,1.3,TRUE,Spell,Fire,47,2.1,1
Rakano,Frost Elemental,Uncommon,1,1,1,FALSE,Unit,Primal,47,2.1,1
Rakano,Lightning Sprite,Uncommon,1,1,1,FALSE,Unit,Primal,47,2.1,1
Rakano,Spiteful Strike,Uncommon,1,1,1,FALSE,Fast Spell,Shadow,47,2.1,1
Rakano,Death Ripple,Uncommon,1,1,1,FALSE,Spell,Shadow,47,2.1,1
Rakano,Fallen Militiaman,Uncommon,1,1,1,FALSE,Unit,Shadow,47,2.1,1
Rakano,Seek Answers,Uncommon,1,1,1,FALSE,Spell,Neutral,47,2.1,1
Rakano,Clan Barracks,Uncommon,1,1,1,FALSE,Relic,Fire,47,2.1,1
Skycrag,Streets Aflame,Common,21,15,21,FALSE,Fast Spell,Fire,22,68.2,1.4
Skycrag,Mining Team,Common,19,11,19,FALSE,Unit,Fire,22,50,1.7
Skycrag,Blurreechaser,Common,19,13,19,FALSE,Unit,Fire,22,59.1,1.5
Skycrag,Backpacker's Machete,Common,17,15,18.700000000000003,TRUE,Weapon,Fire,22,68.2,1.1
Skycrag,Blinkwolf,Common,16,12,17.6,TRUE,Unit,Fire,22,54.5,1.3
Skycrag,Nimble Conscript,Common,17,8,17,FALSE,Unit,Fire,22,36.4,2.1
Skycrag,Gun Down,Common,15,12,16.5,TRUE,Spell,Fire,22,54.5,1.2
Skycrag,Char,Common,16,12,16,FALSE,Fast Spell,Fire,22,54.5,1.3
Skycrag,Lightning Strike,Common,14,10,15.400000000000002,TRUE,Fast Spell,Primal,22,45.5,1.4
Skycrag,Rebel Sharpshooter,Common,14,10,15.400000000000002,TRUE,Unit,Fire,22,45.5,1.4
Skycrag,Yeti Instigator,Common,15,10,15,FALSE,Unit,Primal,22,45.5,1.5
Skycrag,Belligerent Yeti,Common,14,10,14,FALSE,Unit,Primal,22,45.5,1.4
Skycrag,Oni Patrol,Common,14,9,14,FALSE,Unit,Fire,22,40.9,1.6
Skycrag,Pyre Adept,Common,11,10,12.100000000000001,TRUE,Unit,Fire,22,45.5,1.1
Skycrag,Advance Scout,Common,11,8,12.100000000000001,TRUE,Unit,Primal,22,36.4,1.4
Skycrag,Scaly Gruan,Common,10,7,11,TRUE,Unit,Primal,22,31.8,1.4
Skycrag,Pummel,Common,10,7,11,TRUE,Fast Spell,Fire,22,31.8,1.4
Skycrag,Granite Coin,Common,11,11,11,FALSE,Power,Fire,22,50,1
Skycrag,Murderous Flock,Common,11,8,11,FALSE,Unit,Primal,22,36.4,1.4
Skycrag,Flash Freeze,Common,9,6,9.9,TRUE,Fast Spell,Primal,22,27.3,1.5
Skycrag,Clan Wallbreaker,Common,9,9,9.9,TRUE,Unit,Fire,22,40.9,1
Skycrag,Daring Maneuver,Common,8,8,8,FALSE,Fast Spell,Fire,22,36.4,1
Skycrag,Horde Duelist,Common,8,7,8,FALSE,Unit,Fire,22,31.8,1.1
Skycrag,Furnish,Common,8,4,8,FALSE,Fast Spell,Primal,22,18.2,2
Skycrag,Camp Surveyor,Common,8,6,8,FALSE,Unit,Primal,22,27.3,1.3
Skycrag,Rallying Sergeant,Common,8,8,8,FALSE,Unit,NA,22,36.4,1
Skycrag,Cobalt Coin,Common,7,6,7,FALSE,Power,Primal,22,27.3,1.2
Skycrag,Snowmass Jotun,Common,7,4,7,FALSE,Unit,Primal,22,18.2,1.8
Skycrag,Voracious Fosora,Common,6,4,6.6000000000000005,TRUE,Unit,Primal,22,18.2,1.5
Skycrag,Sizzleback Salamander,Common,6,4,6,FALSE,Unit,Fire,22,18.2,1.5
Skycrag,Aerial Ace,Common,5,5,5.5,TRUE,Unit,Primal,22,22.7,1
Skycrag,Icebow,Common,5,5,5.5,TRUE,Weapon,Primal,22,22.7,1
Skycrag,Seek Power,Common,4,4,4.4,TRUE,Spell,Neutral,22,18.2,1
Skycrag,Cloudsnake Hatchling,Common,4,3,4.4,TRUE,Unit,Primal,22,13.6,1.3
Skycrag,Torrential Downpour,Common,4,4,4.4,TRUE,Spell,Primal,22,18.2,1
Skycrag,Fend Off,Common,4,4,4,FALSE,Fast Spell,Primal,22,18.2,1
Skycrag,Fledgling Owlet,Common,4,3,4,FALSE,Unit,Primal,22,13.6,1.3
Skycrag,Death from Above,Common,4,4,4,FALSE,Spell,Primal,22,18.2,1
Skycrag,Diving Pteriax,Common,4,3,4,FALSE,Unit,Primal,22,13.6,1.3
Skycrag,Trailblaze,Common,3,3,3.3000000000000003,TRUE,Fast Spell,Primal,22,13.6,1
Skycrag,Pit Fighter,Common,3,3,3.3000000000000003,TRUE,Unit,Fire,22,13.6,1
Skycrag,Grandfather's Axe,Common,3,3,3.3000000000000003,TRUE,Weapon,Fire,22,13.6,1
Skycrag,Elder Meditant,Common,3,3,3,FALSE,Unit,Primal,22,13.6,1
Skycrag,Needlespitter,Common,3,3,3,FALSE,Unit,Fire,22,13.6,1
Skycrag,Amber Coin,Common,3,2,3,FALSE,Power,Time,22,9.1,1.5
Skycrag,Daze,Common,2,2,2.2,TRUE,Fast Spell,Neutral,22,9.1,1
Skycrag,Envelop,Common,2,1,2.2,TRUE,Fast Spell,Time,22,4.5,2
Skycrag,Avirax Familiar,Common,2,2,2.2,TRUE,Unit,Time,22,9.1,1
Skycrag,Awakened Sentinel,Common,2,2,2.2,TRUE,Unit,Time,22,9.1,1
Skycrag,Wurmstone,Common,2,2,2.2,TRUE,Relic,Time,22,9.1,1
Skycrag,Iron Hook,Common,2,2,2.2,TRUE,Relic Weapon,Neutral,22,9.1,1
Skycrag,Fragility,Common,2,2,2,FALSE,Curse,Primal,22,9.1,1
Skycrag,Hold Under,Common,2,2,2,FALSE,Spell,Primal,22,9.1,1
Skycrag,Backlash,Common,1,1,1.1,TRUE,Fast Spell,Primal,22,4.5,1
Skycrag,Dark Return,Common,1,1,1.1,TRUE,Spell,Shadow,22,4.5,1
Skycrag,Dispel,Common,1,1,1.1,TRUE,Spell,Time,22,4.5,1
Skycrag,Snowfort,Common,1,1,1.1,TRUE,Relic,Primal,22,4.5,1
Skycrag,Light 'em Up,Common,1,1,1.1,TRUE,Fast Spell,Fire,22,4.5,1
Skycrag,Training Ground,Common,1,1,1.1,TRUE,Spell,Time,22,4.5,1
Skycrag,Watchful Amanera,Common,1,1,1.1,TRUE,Unit,Time,22,4.5,1
Skycrag,Crystal Dirk,Common,1,1,1.1,TRUE,Weapon,Primal,22,4.5,1
Skycrag,Mob Rule,Common,1,1,1.1,TRUE,Fast Spell,Shadow,22,4.5,1
Skycrag,Retribution,Common,1,1,1,FALSE,Spell,Justice,22,4.5,1
Skycrag,Brenn's Scrying,Common,1,1,1,FALSE,Spell,Fire,22,4.5,1
Skycrag,Razorquill,Common,1,1,1,FALSE,Unit,Shadow,22,4.5,1
Skycrag,Stonescar Outfitter,Common,1,1,1,FALSE,Unit,Shadow,22,4.5,1
Skycrag,Horn of Plenty,Common,1,1,1,FALSE,Relic,Time,22,4.5,1
Skycrag,Emerald Coin,Common,1,1,1,FALSE,Power,Justice,22,4.5,1
Skycrag,Coverfire Marksman,Uncommon,10,8,10,FALSE,Unit,Fire,22,36.4,1.2
Skycrag,Censari Dervish,Uncommon,8,7,8,FALSE,Unit,Fire,22,31.8,1.1
Skycrag,Heretic's Cannon,Uncommon,8,7,8,FALSE,Weapon,Fire,22,31.8,1.1
Skycrag,Seat of Fury,Uncommon,6,5,7.800000000000001,TRUE,Power,Skycrag,22,22.7,1.2
Skycrag,Outlands Brute,Uncommon,6,5,7.800000000000001,TRUE,Unit,Fire,22,22.7,1.2
Skycrag,Fearless Yeti,Uncommon,6,4,7.800000000000001,TRUE,Unit,Primal,22,18.2,1.5
Skycrag,Combustion Brawler,Uncommon,7,5,7,FALSE,Unit,Fire,22,22.7,1.4
Skycrag,Piercing Shot,Uncommon,5,4,6.5,TRUE,Spell,Fire,22,18.2,1.2
Skycrag,Impatient Pyromage,Uncommon,6,6,6,FALSE,Unit,Fire,22,27.3,1
Skycrag,Frost Elemental,Uncommon,6,5,6,FALSE,Unit,Primal,22,22.7,1.2
Skycrag,Keen Saddleback,Uncommon,6,5,6,FALSE,Unit,Primal,22,22.7,1.2
Skycrag,Tundra Explorer,Uncommon,4,4,5.2,TRUE,Unit,Primal,22,18.2,1
Skycrag,Shugo Standard,Uncommon,4,4,5.2,TRUE,Power,Fire,22,18.2,1
Skycrag,Rusty Grenamotive,Uncommon,4,3,5.2,TRUE,Unit,Fire,22,13.6,1.3
Skycrag,Pitfall Trap,Uncommon,4,4,5.2,TRUE,Relic,Primal,22,18.2,1
Skycrag,Lightning Sprite,Uncommon,5,3,5,FALSE,Unit,Primal,22,13.6,1.7
Skycrag,Aggressive Ursine,Uncommon,5,4,5,FALSE,Unit,Primal,22,18.2,1.2
Skycrag,Avalanche Yeti,Uncommon,4,3,4,FALSE,Unit,Primal,22,13.6,1.3
Skycrag,Ruins Guide,Uncommon,4,4,4,FALSE,Unit,Fire,22,18.2,1
Skycrag,Stronghold Vandal,Uncommon,4,4,4,FALSE,Unit,Fire,22,18.2,1
Skycrag,Cloudsnake Matriarch,Uncommon,4,4,4,FALSE,Unit,Primal,22,18.2,1
Skycrag,Stonescar Insignia,Uncommon,4,3,4,FALSE,Power,Stonescar,22,13.6,1.3
Skycrag,Tantrum,Uncommon,4,4,4,FALSE,Spell,Fire,22,18.2,1
Skycrag,Outlaw Ringleader,Uncommon,4,3,4,FALSE,Unit,Fire,22,13.6,1.3
Skycrag,Permafrost,Uncommon,3,3,3.9000000000000004,TRUE,Curse,Primal,22,13.6,1
Skycrag,Flame Blast,Uncommon,3,2,3.9000000000000004,TRUE,Spell,Fire,22,9.1,1.5
Skycrag,Bladekin Apprentice,Uncommon,3,3,3.9000000000000004,TRUE,Unit,Fire,22,13.6,1
Skycrag,Skycrag Wyvarch,Uncommon,3,2,3.9000000000000004,TRUE,Unit,Primal,22,9.1,1.5
Skycrag,Beastcaller's Amulet,Uncommon,3,2,3.9000000000000004,TRUE,Weapon,Shadow,22,9.1,1.5
Skycrag,Hipshot,Uncommon,3,2,3.9000000000000004,TRUE,Spell,Fire,22,9.1,1.5
Skycrag,Peaktop Trekker,Uncommon,3,3,3,FALSE,Unit,Primal,22,13.6,1
Skycrag,Seat of Cunning,Uncommon,2,2,2.6,TRUE,Power,Feln,22,9.1,1
Skycrag,Seat of Wisdom,Uncommon,2,2,2.6,TRUE,Power,Elysian,22,9.1,1
Skycrag,Diplomatic Seal,Uncommon,2,2,2.6,TRUE,Power,Neutral,22,9.1,1
Skycrag,Calderan Gunsmith,Uncommon,2,2,2.6,TRUE,Unit,Fire,22,9.1,1
Skycrag,Stonepowder Heretic,Uncommon,2,2,2.6,TRUE,Unit,Fire,22,9.1,1
Skycrag,Oni Cavediver,Uncommon,2,2,2.6,TRUE,Unit,Fire,22,9.1,1
Skycrag,Freewing Glider,Uncommon,2,2,2.6,TRUE,Weapon,Primal,22,9.1,1
Skycrag,Cabal Standard,Uncommon,2,1,2.6,TRUE,Power,Shadow,22,4.5,2
Skycrag,Ankle Cutter,Uncommon,2,2,2.6,TRUE,Unit,Fire,22,9.1,1
Skycrag,Good Idea at the Time,Uncommon,2,2,2,FALSE,Spell,Primal,22,9.1,1
Skycrag,Ferocity of Bear,Uncommon,2,2,2,FALSE,Spell,Primal,22,9.1,1
Skycrag,Seat of Chaos,Uncommon,1,1,1.3,TRUE,Power,Stonescar,22,4.5,1
Skycrag,Wild Cloudsnake,Uncommon,1,1,1.3,TRUE,Unit,Primal,22,4.5,1
Skycrag,Suffocate,Uncommon,1,1,1.3,TRUE,Spell,Shadow,22,4.5,1
Skycrag,Snowcrust Yeti,Uncommon,1,1,1.3,TRUE,Unit,Primal,22,4.5,1
Skycrag,Storm Talisman,Uncommon,1,1,1.3,TRUE,Relic,Primal,22,4.5,1
Skycrag,Improvised Rubbler,Uncommon,1,1,1.3,TRUE,Relic Weapon,Fire,22,4.5,1
Skycrag,Clan Standard,Uncommon,1,1,1.3,TRUE,Power,Primal,22,4.5,1
Skycrag,Storm Spiral,Uncommon,1,1,1.3,TRUE,Fast Spell,Primal,22,4.5,1
Skycrag,Dinomancy Enthusiast,Uncommon,1,1,1,FALSE,Unit,Primal,22,4.5,1
Skycrag,Zuberi's Longbow,Uncommon,1,1,1,FALSE,Weapon,Fire,22,4.5,1
Skycrag,Spiteful Strike,Uncommon,1,1,1,FALSE,Fast Spell,Shadow,22,4.5,1
Skycrag,Death Ripple,Uncommon,1,1,1,FALSE,Spell,Shadow,22,4.5,1
Skycrag,Clan Barracks,Uncommon,1,1,1,FALSE,Relic,Fire,22,4.5,1
Skycrag,Twinflame,Uncommon,1,1,1,FALSE,Fast Spell,Fire,22,4.5,1
Skycrag,Blurred Stygimoloch,Uncommon,1,1,1,FALSE,Unit,Time,22,4.5,1
Stonescar,Nimble Conscript,Common,42,26,42,FALSE,Unit,Fire,42,61.9,1.6
Stonescar,Extract,Common,35,27,38.5,TRUE,Spell,Shadow,42,64.3,1.3
Stonescar,Flickerling,Common,31,20,34.1,TRUE,Unit,Shadow,42,47.6,1.6
Stonescar,Rebel Sharpshooter,Common,29,23,31.900000000000002,TRUE,Unit,Fire,42,54.8,1.3
Stonescar,Horde Duelist,Common,29,21,29,FALSE,Unit,Fire,42,50,1.4
Stonescar,Angry Prophet,Common,29,20,29,FALSE,Unit,Shadow,42,47.6,1.4
Stonescar,Streets Aflame,Common,29,19,29,FALSE,Fast Spell,Fire,42,45.2,1.5
Stonescar,Mob Rule,Common,25,18,27.500000000000004,TRUE,Fast Spell,Shadow,42,42.9,1.4
Stonescar,Stonescar Outfitter,Common,27,20,27,FALSE,Unit,Shadow,42,47.6,1.4
Stonescar,Backpacker's Machete,Common,24,19,26.400000000000002,TRUE,Weapon,Fire,42,45.2,1.3
Stonescar,Scavenging Vulture,Common,23,18,25.3,TRUE,Unit,Shadow,42,42.9,1.3
Stonescar,Eviscerate,Common,25,17,25,FALSE,Spell,Shadow,42,40.5,1.5
Stonescar,Pummel,Common,22,16,24.200000000000003,TRUE,Fast Spell,Fire,42,38.1,1.4
Stonescar,Crooked Alleyguide,Common,24,15,24,FALSE,Unit,Shadow,42,35.7,1.6
Stonescar,Char,Common,23,16,23,FALSE,Fast Spell,Fire,42,38.1,1.4
Stonescar,Blurreechaser,Common,23,21,23,FALSE,Unit,Fire,42,50,1.1
